tokens,time- exitRight,time- exitLeft
1,0.5196,3.5991
2,5.4776,5.8185
3,14.1273,6.8103
4,14.1723,9.2971
5,14.6051,9.7835
6,15.6695,9.8282
7,16.027,9.9781
8,17.1498,10.6502
9,19.707,11.2718
10,20.8037,11.9741
11,21.2616,12.9328
12,22.6837,14.3177
13,25.6113,15.9829
14,26.5115,16.3976
15,27.5641,17.0339
16,28.1993,36.0494
17,28.2429,44.6545
18,28.5792,46.535
19,28.9965,50.9344
20,29.158,54.4372
21,32.3347,55.4844
22,33.7407,61.7426
23,37.3341,62.7883
24,37.6669,64.0494
25,38.9769,67.7707
26,41.998,71.2542
27,47.0112,74.6337
28,52.7203,78.2844
29,55.7452,83.5338
30,63.239,86.9387
31,66.4052,90.5783
32,66.8918,96.4519
33,67.6703,101.4896
34,68.6148,102.5106
35,70.4246,102.6425
36,71.2179,105.4243
37,72.0391,116.0035
38,75.1405,123.4789
39,79.9471,124.5595
40,80.4253,127.2674
41,90.28,131.7296
42,90.4757,138.0719
43,98.2551,141.7358
44,102.1449,144.268
45,102.1654,144.5236
46,104.6022,146.2988
47,107.258,146.3423
48,107.638,151.8774
49,109.2507,155.1376
50,109.7481,162.2652
51,109.9548,164.8145
52,113.0766,166.3384
53,114.1289,170.283
54,115.6463,170.9501
55,120.7754,172.405
56,122.0453,173.7877
57,124.4579,186.2757
58,125.2802,197.1745
59,132.9864,199.3113
60,136.002,200.7267
61,141.5776,205.2129
62,141.6881,205.7222
63,144.4482,205.9292
64,150.9648,206.2907
65,156.4182,207.6726
66,157.9099,208.187
67,158.9655,216.1992
68,166.4968,224.4774
69,168.461,224.4999
70,170.8521,225.6347
71,172.4088,234.3832
72,175.9729,239.3012
73,177.3177,241.9491
74,179.6005,242.253
75,187.3967,251.4551
76,193.325,252.273
77,199.4985,252.3968
78,,255.9605
79,,258.9189
80,,259.2403
81,,262.4959
82,,271.1702
83,,273.8662
84,,273.9624
85,,274.1599
86,,277.8273
87,,281.0495
88,,286.7913
89,,289.1286
90,,296.2854
91,,299.883
92,,300.2875
93,,304.2036
94,,311.0639
95,,313.1709
96,,313.2118
97,,314.3622
98,,320.1429
99,,326.9352
100,,328.0981
101,,331.1303
102,,341.1427
103,,342.572
104,,345.5863
105,,355.7417
106,,358.217
