tokens,time- exitRight,time- exitLeft
1,1.4818,1.2421
2,2.1998,5.0312
3,2.5319,5.1068
4,4.5062,5.594
5,5.3888,5.6612
6,5.8679,7.5512
7,8.2552,8.354
8,9.8388,9.0078
9,9.9228,9.0275
10,10.4115,10.3905
11,11.0493,11.5356
12,12.7523,13.0791
13,13.0781,15.4064
14,13.1261,15.9074
15,13.8695,15.9394
16,14.9149,16.9612
17,15.6,17.7331
18,19.1054,19.7501
19,20.7628,19.8
20,21.8548,21.9907
21,23.0014,22.0509
22,24.7871,24.8072
23,27.0353,25.4087
24,27.3687,25.4325
25,27.7781,27.0252
26,28.8584,27.4263
27,28.8733,28.1169
28,29.3969,30.3283
29,29.7826,31.6218
30,33.5263,31.8191
31,34.7503,35.6609
32,37.9885,38.149
33,38.1601,38.3025
34,38.2871,45.7079
35,38.4806,49.6405
36,40.5869,54.6279
37,41.271,61.706
38,45.3038,63.2546
39,45.4582,64.0236
40,46.1831,64.0259
41,46.6252,66.9829
42,49.289,67.5741
43,52.1629,74.0724
44,52.2854,74.8502
45,52.9717,76.3948
46,54.5877,77.4158
47,55.22,79.6207
48,56.4608,82.2212
49,58.1528,86.0337
50,60.5687,86.3974
51,69.268,87.0127
52,69.6655,87.275
53,70.3675,92.6671
54,73.8904,93.5857
55,81.8831,100.8816
56,86.9623,104.3058
57,88.8262,104.3298
58,88.9433,104.5965
59,90.395,108.5548
60,93.6469,112.7329
61,94.8473,120.4626
62,95.2557,123.8758
63,95.5553,124.0398
64,98.9194,124.6804
65,103.2211,128.1759
66,106.7898,129.6461
67,108.4108,135.3283
68,117.622,151.5404
69,121.4282,154.944
70,130.7326,156.9507
71,137.5539,160.8147
72,149.5735,161.8944
73,155.6011,162.8374
74,156.4377,163.5078
75,161.3114,164.9752
76,162.9126,165.5383
77,167.4872,165.6339
78,169.2097,165.8002
79,172.0328,166.043
80,172.4283,168.0543
81,177.7854,169.9968
82,179.5837,170.7509
83,188.5399,172.0084
84,191.0284,176.5051
85,199.0922,186.2947
86,201.6833,186.3539
87,202.9442,189.3949
88,208.2385,191.0327
89,209.2949,195.7616
90,209.6141,197.6435
91,211.1633,199.9818
92,213.5081,200.1275
93,216.7017,200.5097
94,220.4131,205.0603
95,220.5037,210.5662
96,221.7084,212.4242
97,222.3837,213.6901
98,225.545,214.4257
99,229.4344,215.5011
100,234.8767,216.3518
101,237.6339,219.9455
102,237.838,220.9606
103,240.0701,221.2967
104,242.1586,224.6295
105,243.0499,225.8844
106,247.6672,226.1945
107,255.4653,226.8067
108,258.828,236.3967
109,261.1874,236.4597
110,262.9371,238.5495
111,265.3232,246.3905
112,271.2981,246.8131
113,273.141,254.9536
114,274.0885,258.9022
115,281.342,259.0565
116,282.6084,260.079
117,286.6361,262.8922
118,289.0214,266.8879
119,289.2713,270.3498
120,290.4891,
121,291.124,
122,292.9671,
123,293.9985,
124,294.9717,
125,301.3875,
126,303.7115,
127,311.5053,
128,316.0636,
129,325.69,
